એક	ek
બે	be
ત્રણ	tran
ચાર	chaar
પાંચ	paanch
છ	chh
સાત	saat
આઠ	aath
નવ	nav
દસ	das
અગિયાર	agyaar
બાર	baar
તેર	ter
ચૌદ	chaud
પંદર	pandar
સોળ	sor
સતર	satar
અઢાર	aadhar
ઓગણીસ	ogNis
વીસ	vis
સો	so
હજાર	hajar
લાખ	laakh
કરોડ	karod
ગુજરાત	gujaraat
ગુજરાતી	gujaraatii
ભારત	bhaarat
હિંદુસ્તાન	hindustaan
અમદાવાદ	ahmedaabaad
સુરત	surat
વડોદરા	vadodaraa
રાજકોટ	raajkot
ભાવનગર	bhaavnagar
જામનગર	jamnagar
ગાંધીનગર	gandhinagar
હું	huM
તું	tuM
તે	te
તમે	tame
તમં	tameM
અમે	ame
આપ	aap
આપને	aapNe
એને	enee
તેને	tenee
મુઝ	mujh
મુઝે	mujhe
તુઝ	tujh
તુઝે	tujhe
નામ	naam
કામ	kaam
ગામ	gaaM
ઘર	ghar
દુનિયા	duniyaa
દેશ	desh
રાજ્ય	rajy
નગર	nagar
શહેર	shaher
માર્ગ	maarga
રસ્તા	rasta
વિદ્યા	vidyaa
શિક્ષણ	shikshaN
શાળા	shaalaa
વિશ્વવિદ્યાલય	vishvavidyaalay
પુસ્તક	pustak
કવિતા	kavitaa
સાહિત્ય	sahity
સમાચાર	samachaar
અખબાર	akhabaar
છાત્ર	chaatr
શિક્ષક	shikshak
વ્યાપાર	vyaapaar
કારોબાર	kaarobaar
દુકાન	dukaan
પૈસે	paise
રૂપિયા	rupiyaa
દામ	daam
કિંમત	kimat
ભાવ	bhaav
દિવસ	divas
રાત્ર	raatr
રાત્રિ	raatri
સવાર	saveraa
સાંજ	saMja
સાંજકાળ	saayMkaal
પ્રભાત	prabhaat
દોપહેર	dopahr
સમય	samay
ઘડી	ghaDi
મિનિટ	miNaT
ક્ષણ	kshaN
કાળ	kaal
વર્ષ	varsh
મહિનો	mahinaa
માસ	maas
સપ્તાહ	saptaah
હફ્તો	hafto
આજ	aaj
કાલે	kaal_e
પરસો	parso
કાલ	kal
પાણી	paani
આગ	aag
હવા	havaa
આકાશ	aakaash
ધરતી	dhartii
પૃથ્વી	pRuthvii
સૂર્ય	sury
સૂરજ	suuraj
ચંદ્ર	chandra
તારા	taaraa
નદી	nadii
સમુદ્ર	samudr
પહાડ	pahaad
પર્વત	parvat
વન	van
જંગલ	jungle
પશુ	pashu
પક્ષી	pakshii
ફળ	phal
ફૂલ	phuul
રુક્ખ	rukh
પેડ	ped
વૃક્ષ	vRuksh
બીજ	biij
મિટ્ટી	miTTii
બિજલી	bijalii
માતા	maataa
મા	maa
પિતાજી	pitaajii
પિતા	pitaa
બા	baa
બાપુજી	baapujii
દીકરો	dikraa
દીકરી	dikarii
બેટા	betaa
બેટી	betii
ભાઈ	bhau
બહેન	ben
દાદાજી	dadaajii
દાદી	daadii
નાનાજી	naanaajii
નાની	naanii
માસી	maasii
મામાજી	maamaajii
કાકા	kkaakaa
કાકી	kkaakii
મામા	mama
મૌસી	mousii
ભાઈ	bhaai
બહીન	bahiiN
પતિ	patii
પત્ની	patnii
પુરુષ	purush
સ્ત્રી	strii
માનવ	maanav
વ્યક્તિ	vyakti
જન	jan
લોક	lok
જનતા	janaataa
મિત્ર	mitr
દોસ્ત	dost
શત્રુ	shatru
પ્રેમ	prem
મૈત્ર	maitr
સત્ય	saty
ઝૂઠ	jhuuTh
ધર્મ	dharm
કર્મ	karma
યોગ	yog
જ્ઞાન	gyaan
બુદ્ધિ	buddhi
વિવેક	vivek
શક્તિ	shakti
બળ	bal
આશા	aashaa
નિરાશા	niraashaa
ખુશી	khushii
દુઃખ	dukh
શાંતિ	shaaNti
આનંદ	anand
હૃદય	hriday
આત્મ	aatm
આશીર્વાદ	aashirvaad
પ્રાર્થના	prarthanaa
પૂજા	puujaa
સેવા	sevaa
ત્યાગ	tyaag
દાન	daan
પાપ	paap
પુણ્ય	punya
સ્વાતંત્ર્ય	svaatantry
આઝાદી	aazaadii
સન્માન	sammaan
અપમાન	apamaan
લાજ	laaj
શરમ	sharm
હિંમત	himmat
સાહસ	sahas
શૌર્ય	shourya
ક્રોધ	krodh
લોભ	lobh
મોહ	moha
અહંકાર	ahankaar
માન	maan
સ્નેહ	sneh
કારુણ્ય	kaaruNya
દયા	dayaa
કૃપા	kripaa
કૃપા	krupa
અનુગ્રહ	anugrah
લાલ	laal
હરો	haraa
હરિયાળ	hariyaal
પીળો	piilaa
નીલો	niilaa
ઉજ્જળ	ujLuu
કાળો	kaaLuu
સફેદ	safed
સફેદ	sufed
ભૂરો	bhauraa
નારંગી	naarangii
ગુલાબી	gulaabii
બૈંગણી	bainganii
રોટલી	rotlII
શાક	shaak
દાળ	daal
ભાત	bhaat
ખિચડી	khiichDii
ઢોકળા	dokLaa
ખમણ	khamaaN
ફાફડા	fafDaa
જલેબી	jalebi
શ્રીખંડ	shrikhaND
બસુંદી	basuNDii
ઘરી	gharii
ઉંધિયું	undhiyuu
થેપલા	thepLaa
ગાંઠિયા	gathiyaa
પાત્રા	paatraa
લાપસી	laapsii
સુરતી-જામનગર	suurati-jaamnagar
મળાઈ	maLaa-ii
છાશ	chaash
દૂધ	dudh
ઘી	ghee
તેલ	tel
મિઠાઈ	miThaaii
મીઠું	miThuu
તીખ	tiikh
કડવું	kaDvvuu
ખાટ્ટું	khattuu
નમ્મક	nammuuk
કરો	karo
કરવું	karvu
બોલો	bolo
બોલવું	bolvu
જાઓ	jaao
જાવું	jaavu
આવો	aavo
આવવું	aavvu
ખાવો	khaavo
ખાવું	khaavu
પીવો	piivo
પીવું	piivu
પઢો	paDho
પઢવું	paDhvuu
લખો	laakho
લખવું	laakhvuu
સાંભળો	sunoo
સાંભળવું	sunvuu
જુઓ	dekho
જોવું	jovuu
ઉઠો	utho
ઉઠવું	uThvuu
બેસો	baiso
બેસવું	baisvuu
હસો	hasso
હસવું	hasvuu
રડો	rovo
રડવું	rovu
દોડો	doudo
દોડવું	doudvuu
રહો	raho
રહેવું	rahvuu
મરીએ	mariye
મરવું	marvu
દેખાય	dekhaay
થાય	thaay
હોય	hoy
નથી	nathi
છે	chhe
હતો	hato
હતી	hati
હશે	hashe
કરીશ	karish
જઈશ	jaaiish
આવીશ	aaviish
કરીશું	kariishuM
જઈશું	jaaiishuM
આવીશું	aaviishuM
કરીશું	karishuM
આવે	ave
આવવું	aavvu
આવજો	aavjo
આવે	aave
સારું	saaru
સારી	saarii
સારો	saaro
નાળું	naaLu
નાળી	naaLii
નાળો	naaLo
મધ્ય	maDvu
નવા	nava
નવી	navi
નવું	navaa
જૂના	juna
જૂની	junii
જૂનું	junu
મોટું	motu
મોટી	motii
મોટો	moto
નાનું	naanu
નાની	naanii
નાનો	naano
ઊંચું	uuchu
ઊંચી	uuchii
ઊંચો	uucho
લાંબું	laambu
લાંબી	laambii
લાંબો	laambo
ઠંડું	thaaNDu
ઠંડી	thaaNDii
ઠંડો	thaaNDo
ગરમ	gaRmu
ગરમી	gaRmii
તેજ	tej
ઢાળું	dhaaLuu
ઢાળી	dhaaLii
ઢાળો	dhaaLo
સીધું	sidaLuu
સીધી	sidaLii
સીધો	sidaLo
ગોળ	gola
ચોરસ	chaursu
ત્રિકોણ	trikuN
આગળ	aage
પાછળ	paaChu
ઉપર	uupar
નીચે	niiche
ડાબું	daaM
જમણું	jaMvu
બીચ	biich
બહાર	bahaar
અંદર	andar
પાસ	paas
દૂર	duur
પહેલાં	paheLaa
પછી	pachhii
આજે	aaje
કાલે	kaaLe
હમેશા	hameShaa
એકલા	ekla
સાથે	saaThe
સર્વ	sarv
સબ	sab
બધા	badhaa
કોઈ	koi
કઈ	kaaii
શું	shu
કેમ	kaheM
ક્યારે	kyaare
ક્યાં	kyaM
કોને	kone
શું	shuuM
કહે	kahe
બોલાવ	bolaav
જાઈ	jaai
થાઈ	thaai
દેખી	dekhii
સાંભળી	saaMbhLii
નમસ્તે	namaste
જય હિંદ	jay-hind
જય ગુજરાત	jay-gujaraat
કેમ છો	kem-chho
હું મજામાં	huM-maajaa-maa
ધન્યવાદ	dhanyavaad
આભાર	aabhaar
માફ કરજો	maaf-karjo
આવજો	aavjo
જાજો	jaajo
શુભ પ્રભાત	subh-prabhaat
શુભ રાત્રિ	subh-raatr
શુભકામના	shubhakaamnaa
હાર્દિક અભિનંદન	hardik-aabhinaMdan
જન્મદિન મુબારક	janmadin-mubarak
સંગણક	saMgaNak
કમ્પ્યુટર	kaMpuTar
મોબાઈલ	moobaail
ફોન	foon
ઈન્ટરનેટ	iMTarneT
સોફ્ટવેર	sophtaveyar
હાર્ડવેર	haDaver
સૌચાલય	sauchaaLaya
વિમાન	vimaan
રેલગાડી	relgDDii
બસ	bas
ગાડી	gDDii
મોટર	moTar
સાઈકલ	saiakal
આંખ	aankh
આંખ	aamkh
કાન	kaan
નાક	naak
મોં	moM
હાથ	haath
પગ	pag
દાંત	daaMt
મગજ	magaj
પેટ	peT
પીઠ	piiTh
આંગળી	aangLii
આંગળી	aamgLii
નખ	nakha
છત્ર	chatr
છત્ર	chhatr
છાત્ર	chhaatr
નળ	naL
નાળ	naaL
નળ	nal
સોમવાર	somvaar
મંગળવાર	maNgaLvaar
બુધવાર	budhvaar
ગુરુવાર	guruvaar
શુક્રવાર	shukrvaar
શનિવાર	shanivaar
રવિવાર	ravivaar
જાન્યુઆરી	jaanyuaarii
ફેબ્રુઆરી	phebruaarii
માર્ચ	maarch
એપ્રિલ	epril
મે	me
જૂન	juun
જુલાઈ	julaaii
ઓગસ્ટ	ogasT
સપ્ટેમ્બર	sapTembar
ઓક્ટોબર	okTobar
નવેમ્બર	novembar
ડિસેમ્બર	Disembar
ચૈત્ર	chaitr
વૈશાખ	vaishaakh
જેઠ	jheTh
આષાઢ	aashaaDh
શ્રાવણ	shraavaN
ભાદરવો	bhaadarvo
આસો	aaso
કારતક	kaartak
માગસર	maagasr
પોષ	posh
મહા	mahaa
ફાગણ	phaagaN
લાવો	laavo
લાવવું	laavvu
મોકળો	mokLo
મોકળવું	mokLvu
ખોળો	khoLo
ખોલવું	khoLvu
ચાલો	chaalo
ચાલવું	chaalvu
રોકો	roko
રોકવું	rokvu
વધારો	vadhaaro
ઘટાડો	ghaTaado
સમસ્યા	samasya
ઉકેલ	ukel
રસ્તો	rasto
ઘડિયાળ	ghaDiyaaL
વિચાર	vichaar
બેઠક	beThak
સભા	sabhaa
સમિતિ	samiti
મંતન	manTan
યોજના	yojanaa
કામગિરી	kaamgiri
શિક્ષિત	shikshit
અનપઢ	anapaDh
લાયક	laayak
બેઈમાન	beimaan
ઈમાનદાર	iimaanDaar
ધની	dhani
ગરીબ	garib
સ્વાસ્થ્ય	svaasthya
રોગ	rogo
